[ 2026-08-13 15:22:12,992 ] 15 root - INFO - Initiate date ingestion
[ 2026-08-13 15:22:14,180 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-08-13 15:22:14,180 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-08-13 15:22:14,180 ] 75 root - INFO - Exporting train and test file path.
[ 2026-08-13 15:22:14,221 ] 84 root - INFO - Exported train and test file path.
[ 2026-08-13 15:22:14,221 ] 17 root - INFO - Data initiation is completed
[ 2026-08-13 15:22:14,225 ] 21 root - INFO - Initiate date validation
[ 2026-08-13 15:22:14,322 ] 32 root - INFO - Required number of columns:2
[ 2026-08-13 15:22:14,323 ] 33 root - INFO - Data frame has columns:31
[ 2026-08-13 15:22:14,323 ] 32 root - INFO - Required number of columns:2
[ 2026-08-13 15:22:14,323 ] 33 root - INFO - Data frame has columns:31
[ 2026-08-13 15:22:14,427 ] 23 root - INFO - Data validation completed
